"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 06 18:14:11 GMT 2023","Thu Apr 06 18:14:11 GMT 2023","0","tests","test_Category_Products","TestContactUs","","","test_TestCase19_View_and_Cart_Brand_Products[chromium]",""
"broken","Thu Apr 06 18:14:12 GMT 2023","Thu Apr 06 18:14:12 GMT 2023","0","tests","test_Place_Order","TestContactUs","","","test_TestCase14_Place_Order_Register_while_Checkout",""
"broken","Thu Apr 06 18:14:19 GMT 2023","Thu Apr 06 18:14:19 GMT 2023","0","tests","test_Subscription","TestContactUs","","","test_TestCase25_Verify_Scroll_Up_using_Arrow_button_and_Scroll_Down_functionality",""
"broken","Thu Apr 06 18:14:11 GMT 2023","Thu Apr 06 18:14:11 GMT 2023","0","tests","test_Category_Products","TestContactUs","","","test_TestCase20_Search_Products_and_Verify_Cart_After_Login[chromium]",""
"broken","Thu Apr 06 18:14:16 GMT 2023","Thu Apr 06 18:14:16 GMT 2023","0","tests","test_Signup_Login","TestSignup","","","test_TestCase1_Register_User",""
"broken","Thu Apr 06 18:14:12 GMT 2023","Thu Apr 06 18:14:12 GMT 2023","0","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase7_Verify_Test_Cases_Page",""
"broken","Thu Apr 06 18:14:18 GMT 2023","Thu Apr 06 18:14:18 GMT 2023","0","tests","test_Subscription","TestContactUs","","","test_TestCase10_Verify_Subscription_in_home_page",""
"broken","Thu Apr 06 18:14:14 GMT 2023","Thu Apr 06 18:14:14 GMT 2023","0","tests","test_Products","TestContactUs","","","test_TestCase9_Search_Product",""
"broken","Thu Apr 06 18:14:11 GMT 2023","Thu Apr 06 18:14:11 GMT 2023","0","tests","test_Category_Products","TestContactUs","","","test_TestCase21_Add_review_on_product[chromium]",""
"broken","Thu Apr 06 18:14:19 GMT 2023","Thu Apr 06 18:14:19 GMT 2023","0","tests","test_Subscription","TestContactUs","","","test_TestCase26_Verify_Scroll_Up_without_Arrow_button_and_Scroll_Down_functionality",""
"broken","Thu Apr 06 18:14:18 GMT 2023","Thu Apr 06 18:14:18 GMT 2023","0","tests","test_Subscription","TestContactUs","","","test_TestCase22_Add_to_cart_from_Recommended_items",""
"broken","Thu Apr 06 18:14:13 GMT 2023","Thu Apr 06 18:14:13 GMT 2023","0","tests","test_Place_Order","TestContactUs","","","test_TestCase15_Place_Order_Register_before_Checkout",""
"broken","Thu Apr 06 18:14:17 GMT 2023","Thu Apr 06 18:14:17 GMT 2023","0","tests","test_Signup_Login","TestSignup","","","test_TestCase4_Logout_User",""
"broken","Thu Apr 06 18:14:11 GMT 2023","Thu Apr 06 18:14:11 GMT 2023","0","tests","test_Products","TestContactUs","","","test_TestCase12_Add_Products_in_Cart[chromium]",""
"broken","Thu Apr 06 18:14:17 GMT 2023","Thu Apr 06 18:14:17 GMT 2023","0","tests","test_Signup_Login","TestSignup","","","test_TestCase3_Login_User_with_incorrect_email_and_password",""
"broken","Thu Apr 06 18:14:14 GMT 2023","Thu Apr 06 18:14:14 GMT 2023","0","tests","test_Products","TestContactUs","","","test_TestCase8_Verify_All_Products_and_product_detail_page",""
"broken","Thu Apr 06 18:14:17 GMT 2023","Thu Apr 06 18:14:17 GMT 2023","0","tests","test_Signup_Login","TestSignup","","","test_TestCase2_Login_User_with_correct_email_and_password",""
"broken","Thu Apr 06 18:14:13 GMT 2023","Thu Apr 06 18:14:13 GMT 2023","0","tests","test_Place_Order","TestContactUs","","","test_TestCase16_Login_before_Checkout",""
"broken","Thu Apr 06 18:14:13 GMT 2023","Thu Apr 06 18:14:13 GMT 2023","0","tests","test_Place_Order","TestContactUs","","","test_TestCase23_Verify_address_details_in_checkout_page",""
"broken","Thu Apr 06 18:14:18 GMT 2023","Thu Apr 06 18:14:18 GMT 2023","0","tests","test_Subscription","TestContactUs","","","test_TestCase11_Verify_Subscription_in_Cart_page",""
"broken","Thu Apr 06 18:14:10 GMT 2023","Thu Apr 06 18:14:10 GMT 2023","0","tests","test_Category_Products","TestContactUs","","","test_TestCase18_View_Category_Products[chromium]",""
"broken","Thu Apr 06 18:14:12 GMT 2023","Thu Apr 06 18:14:12 GMT 2023","0","tests","test_Products","TestContactUs","","","test_TestCase13_Verify_Product_quantity_in_Cart[chromium]",""
"broken","Thu Apr 06 18:14:16 GMT 2023","Thu Apr 06 18:14:16 GMT 2023","0","tests","test_Products","TestContactUs","","","test_TestCase17_Remove_Products_From_Cart",""
"broken","Thu Apr 06 18:14:14 GMT 2023","Thu Apr 06 18:14:14 GMT 2023","0","tests","test_Place_Order","TestContactUs","","","test_TestCase24_Download_Invoice_after_purchase_order",""
"broken","Thu Apr 06 18:14:12 GMT 2023","Thu Apr 06 18:14:12 GMT 2023","0","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase6_Contact_Us_Form",""
"broken","Thu Apr 06 18:14:17 GMT 2023","Thu Apr 06 18:14:17 GMT 2023","0","tests","test_Signup_Login","TestSignup","","","test_Test_Case5_Register_User_with_existing_email",""
